Year,Model,Total Price
2024,Sliding deck fl  oor,256.67
2024,,256.67
2024,Sliding Deck Floor,326.67
2024,,326.67
2024,Sport bar,138.33
2024,,138.33
2024,Sport bar,135.83
2024,,135.83
2024,Soft tonneau cover,199.17
2024,,199.17
2024,Soft tonneau cover,189.17
2024,,189.17
2024,Soft tonneau cover,190.0
2024,,190.0
2024,Aluminium tonneau cover,305.83
2024,,305.83
2024,Aluminium tonneau cover,346.67
2024,,346.67
2024,Aluminium tonneau cover,324.17
2024,,324.17
2024,"CUSTOMISATION Active Icon Invincible Invincible XInvincible X 
AT35GR SPORT 
with Sports 
BarGR SPORT",336.67
2024,,336.67
2024,Manual roll cover,360.0
2024,,360.0
2024,Manual roll cover,453.33
2024,,453.33
2024,Manual roll cover,464.17
2024,,464.17
2024,Toyota Genuine Leisure Hardtop,459.17
2024,,459.17
2024,Toyota Genuine Leisure Hardtop,409.17
2024,,409.17
2024,Textile fl  oor mats,15.83
2024,,15.83
2024,Textile fl  oor mats,14.17
2024,,14.17
2024,Textile fl  oor mats,14.17
2024,,14.17
2024,Rubber fl  oor mats,13.33
2024,,13.33
2024,Rubber fl  oor mats,13.33
2024,,13.33
2024,Side bars,149.17
2024,,149.17
2024,Side bars,116.5
2024,,116.5
2024,17,224.17
2024,,224.17
2024,18,169.17
2024,,169.17
2024,Flanged - 7pin,116.67
2024,,116.67
2024,Flanged - 13pin,118.33
2024,,118.33
2024,Pin - 7pin,150.83
2024,,150.83
2024,Pin - 13pin,152.5
2024,,152.5
2024,Front-facing dash camera,49.17
2024,,49.17
2024,Front-,62.5
2024,,62.5
2024,"29

--- Page 30 ---
Hilux Conversions
DROPSIDE Single Cab Extra Cab Basic VAT RetailMaximum 
Reclaimable 
VAT
Only available on Active Grade",659.0
2024,,659.0
2024,"TIPPER Single Cab Extra Cab Basic VAT RetailMaximum 
Reclaimable 
VAT
Only available on Active Grade",987.0
2024,,987.0
2024,CARRIAGE,39.0
2024,,39.0
2024,Scottish mainland,57.0
2024,,57.0
2024,505 mm x 50 mm mesh infi  lls,376.95
2024,,376.95
2024,4,57.75
2024,,57.75
2024,Reversing Alarm,24.15
2024,,24.15
2024,LED Strobes Amber 12V,57.75
2024,,57.75
2024,LED Strobes Amber 12V,57.75
2024,,57.75
2024,Chapter 8 Chevrons on tailgate,143.85
2024,,143.85
2024,0,42933.0
2024,0,43433.0
2024,"32

--- Page 33 ---
 Accessories
A wide range of accessories is available",107.5
2024,,107.5
2024,0,34058.0
2024,0,34058.0
2024,0,37646.0
2024,0,37646.0
2024,"34

--- Page 35 ---
 Accessories
A wide range of accessories is available",107.5
2024,,107.5
2024,CUSTOMISATIONShuttle Family Basic VAT,49.83
2024,,49.83
2024,Nextbase Front and Rear-facing Dash Camera,66.5
2024,,66.5
2024,176,335.0
2024,,34729.0
2024,,5909.17
2024,207,335.0
2024,,37279.0
2024,,6334.17
2024,176,335.0
2024,,36119.0
2024,,6140.83
2024,205,335.0
2024,,37919.0
2024,,6440.83
2024,206,335.0
2024,,38464.0
2024,,6531.67
2024,207,335.0
2024,,38669.0
2024,,6565.83
2024,208,335.0
2024,,39214.0
2024,,6656.67
2024,209,335.0
2024,,42839.0
2024,,7260.83
2024,208,335.0
2024,,40369.0
2024,,6849.17
2024,209,335.0
2024,,40914.0
2024,,6940.0
2024,209,335.0
2024,,41119.0
2024,,6974.17
2024,209,335.0
2024,,41664.0
2024,,7065.0
2024,209,335.0
2024,,45289.0
2024,,7669.17
2024,253,335.0
2024,,34929.0
2024,,5942.5
2024,"36

--- Page 37 ---
 Accessories
A wide range of accessories is available",121.67
2024,,121.67
2024,Rear Camera,46.67
2024,,46.67
2024,Tailgate,21.67
2024,,21.67
2024,3 Locks,84.17
2024,,84.17
2024,Textile Mats,7.5
2024,,7.5
2024,Nextbase Front-facing Dash Camera,49.83
2024,,49.83
2024,Nextbase Front and Rear-facing Dash Camera,59.83
2024,,59.83
2024,173,335.0
2024,,34179.0
2024,,5817.5
2024,176,335.0
2024,,34729.0
2024,,5909.17
2024,205,335.0
2024,,36529.0
2024,,6209.17
2024,207,335.0
2024,,37279.0
2024,,6334.17
2024,176,335.0
2024,,36119.0
2024,,6140.83
2024,205,335.0
2024,,37919.0
2024,,6440.83
2024,207,335.0
2024,,38669.0
2024,,6565.83
2024,209,335.0
2024,,41039.0
2024,,6960.83
2024,205,335.0
2024,,40639.0
2024,,6894.17
2024,208,335.0
2024,,40369.0
2024,,6849.17
2024,209,335.0
2024,,41119.0
2024,,6974.17
2024,209,335.0
2024,,43089.0
2024,,7302.5
2024,209,335.0
2024,,43589.0
2024,,7385.83
2024,"Maximum
Reclaimable
VAT
17",90.83
2024,,90.83
2024,Metallic Paint,121.67
2024,,121.67
2024,"CUSTOMISATION Active IconIcon 
Crew 
Cab DesignDesign 
Crew 
Cab Basic VAT",50.83
2024,,50.83
2024,Parking Pack,49.17
2024,,49.17
